placeId,destination_name,category_name,address,Kecamatan,postal_code,state,place_rating,lat,lng,reviews_count,one Star,two Star,three Star,four Star,five Star,reviewerId,name,text,publishAt,publishedAtDate,user_rating
1,Agrowisata Batulamak,wisata pertanian,"Gurgur Aek Raja, Tampahan, Kabupaten Toba Samosir, Sumatera Utara 22312, Indonesia",Tampahan,22312,Sumatera Utara,5,23.109.321,990.258.667,4,0,0,0,0,4,0,Rini Hutauruk,"Yuks mari petik sendiri ,",setahun lalu,2020-11-01T11:12:16.322Z,5
1,Agrowisata Batulamak,wisata pertanian,"Gurgur Aek Raja, Tampahan, Kabupaten Toba Samosir, Sumatera Utara 22312, Indonesia",Tampahan,22312,,5,23.109.321,990.258.667,,,,,,,1,Dewi Tampubolon,"Suka bgt tempat ini, asri bgt, asik ,bisa metik jeruk sepuasnya,jeruknya"" manis banget,Owner nya ramah pula ☺...",setahun lalu,2020-10-30T23:03:23.379Z,5
1,Agrowisata Batulamak,wisata pertanian,"Gurgur Aek Raja, Tampahan, Kabupaten Toba Samosir, Sumatera Utara 22312, Indonesia",Tampahan,22312,,5,23.109.321,990.258.667,,,,,,,2,amsal gultom,👍,10 bulan lalu,2021-01-22T19:37:46.089Z,5
1,Agrowisata Batulamak,wisata pertanian,"Gurgur Aek Raja, Tampahan, Kabupaten Toba Samosir, Sumatera Utara 22312, Indonesia",Tampahan,22312,,5,23.109.321,990.258.667,0,,,,,,3,Juandi Sianipar,,setahun lalu,2020-11-01T10:10:57.174Z,5
2,Gunung Pangulubao,wisata alam,"Jangga Toruan, Lumban Julu, Toba, North Sumatra, Indonesia",Lumban Julu,22312,Sumatera Utara,5,2.597.778,99.065.278,3,0,0,1,1,1,4,Ra Ni,,11 bulan lalu,2021-01-29T02:39:42.738Z,5
2,Gunung Pangulubao,wisata alam,"Jangga Toruan, Lumban Julu, Toba, North Sumatra, Indonesia",Lumban Julu,22312,,5,2.597.778,99.065.278,,,,,,,5,Wartipan,,2 tahun lalu,2019-06-25T03:04:53.097Z,5
2,Gunung Pangulubao,wisata alam,"Jangga Toruan, Lumban Julu, Toba, North Sumatra, Indonesia",Lumban Julu,22312,,5,2.597.778,99.065.278,,,,,,,6,Hemry Tumanggor,"(Translated by Google) Great....

(Original)
Mantap....",3 tahun lalu,2018-05-25T15:35:57.531Z,5
3,Homestay Desa Wisata SIGAPITON,wisata alam,"Unnamed Road, Motung, Ajibata, Kabupaten Toba Samosir, Sumatera Utara 22386, Indonesia",Ajibata,22386,Sumatera Utara,4.1,25.996.108,989.291.808,14,0,2,3,3,6,7,Irianton Daely,Viewnya top,sebulan lalu,2021-12-03T13:43:53.748Z,5
3,Homestay Desa Wisata SIGAPITON,wisata alam,"Unnamed Road, Motung, Ajibata, Kabupaten Toba Samosir, Sumatera Utara 22386, Indonesia",Ajibata,22386,,5,25.996.108,989.291.808,,,,,,,8,Ratnauli Gultom,"(Diterjemahkan oleh Google) Tempat tenang yang indah dan orang-orang yang sangat baik

(Asli)
A wonderful quiet place and very nice people",5 bulan lalu,2021-07-27T12:14:01.557Z,5
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,9,Indra Satria,"Sebenarnya tempatnya bagus sekali untuk pecinta alam kereeen, tapi sayang akses masuk ke daerahnya buruk plus hari besar seperti sekarang semuanya naek harga masuk 1 orang 15 ribu beda uang parkir plus uang titip helm, untuk yg bawa anak2 disarankan hati2 apalagi saat kondisi habis hujan jalan masuk ke bawah licin.",6 bulan lalu,2021-05-15T14:02:14.336Z,4
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,10,Yaya,"Asri bangett, tempat nya belum kotor, dan jgn dikotorin ya gaes, buang sampah pada tempatnya. parkir ga bayar, HTM: 15k/ 2 org, jalan ke wisata nya berbatuan. Dari tempat parkir, jalan lg menurunin tangga sekitar 5 menit kebawah buat nemuin sungai dan goa+ air terjun. Buat masuk ke goa nya kita perlu sewa rakit gk mahal kok. dan ga nyseel pastinya buat mudamudi yg berniat kemari, lebih seru rame2 bareng temen. Batu sungainya licin, masi byk lumutnya, krna gk ramai dikunjungi, hati2 readerss! .",10 bulan lalu,2021-01-04T09:01:00.671Z,5
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,11,Ikha kha,"Pemandiannya enak banyak bebatuan kecil dan besar besar, goa nya tidak begitu jauh namun seru rasanya . pelayanannya juga baguss . cuma aku saranin klw mw ksna periksa kendaraan dgn baik karna jalannya cukup ekstrem , 😍",setahun lalu,2020-08-21T07:24:55.194Z,4
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,12,Andre Rinaldi,Wisata yang sangat fenomenal yang di mana membuat kita slalu ingin mengunjungi nya karna dimana air serta lokasi nya sangat menyejukan di hati...,setahun lalu,2020-01-02T11:24:00.623Z,5
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,13,Husni Thamrin,Tempat wisata yang bagus sekali buat keluarga. Yg hobby traveling air. Namun Jalannya menuju ketempat ini Rusak tidak bisa dilalui mobil. Sayang masih kurang sentuhan pemerintah setempat dlm mengelola tempat ini.,11 bulan lalu,2021-01-01T15:29:22.313Z,5
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,14,Ikaputri Starfish,"Mantaap rugi kalau gk basah dan gak main rakit,dengan harga yang sangat murah sudah bisa menelusuri ke dalam sampai ke air terjun.
Biaya Parkir masuk hanya 3000 rupiah.
Dan yang penting untuk semua pengunjung yang datang membawa makanan, sampahnya harap di bawa pulang kembali agar objek wisatanya ttp terjaga.",2 tahun lalu,2019-07-31T06:04:40.241Z,4
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,15,Ari Franata,"Kalau di jabar ada green canyon,  kita di SUMUT ada goa sigalapang. Lokasinya cukup mudah di akses motor maupun mobil. Meskipun harus melalui jalan berbatu dan terjal di beberapa sisi.  Tapi setelah sampai ke lokasi di jamin memuaskan.  Lokasinya nya juga family friendly,bersih,dan masih asri.  Ayo main ke sigalapang..",2 tahun lalu,2019-08-28T09:37:46.340Z,5
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,16,melki dasuha,Jalan nya gk bagus,2 bulan lalu,2021-10-02T16:55:41.978Z,3
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,17,Juandri Fahmi,Tempatnya asik banget.airnya jerni nansejuk bisa liat ikan2 liar berenang dengan bebas. Tetapi aksesnya msh buruk.butu perhatian dr pemerintah setempat,9 bulan lalu,2021-02-26T10:54:26.370Z,5
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,18,Aderiani Maulida,tempatnyaa sangat bagus dan alami tapi akses jalan menuju lokasi kurang bagus,2 tahun lalu,2019-11-13T07:32:20.260Z,4
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,19,rahmad abdul Mutholif,"Mantap oi, masi asri...",2 tahun lalu,2019-07-29T00:44:48.570Z,5
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,20,Siok San,Masih dikelola oleh penduduk setempat,setahun lalu,2020-06-21T01:32:19.772Z,4
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,Sumatera Utara,4.6,25.560.573,994.571.404,67,1,0,3,18,45,21,Juliana Sinambela,"Wisata nya keren bagus. Pelayanan nya juga baik banget, ramah sama pengunjung.. rugi kalau gaj basah eeuuy🥰",setahun lalu,2020-09-06T03:29:02.734Z,5
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,22,Dicky Erlangga,"Seru, apalagi kalau naik perahu karetnya jadi yang pertama dihari itu, berasa goa nya milik pribadi hihihi",setahun lalu,2020-11-01T15:30:06.912Z,4
4,wisata alam Goa Sigalapang,wisata alam,"Asahan, Labura, Jl. Lintas Sumatera, Meranti Tim., Pintu Pohan Merant, Kabupaten Toba Samosir, Sumatera Utara 21274, Indonesia",Pintu Pohan Meranti,21274,,4.6,25.560.573,994.571.404,,,,,,,23,Heri Kisaran,"Asyik,seru,seger min.tapi akses fasilitas jalan mau menuju wisata alamnya mohon diperbaiki lagi min ada yg kurang bgus.sehingga agak sulit apalagi untuk kendaraan roda 4",setahun lalu,2020-06-06T14:55:55.724Z,4
